state_num,DEST_STATE_NM,country_num
1,Minnesota,232
2,Alaska,232
3,Texas,232
4,Oregon,232
5,Alabama,232
6,Vermont,232
7,New Hampshire,232
8,West Virginia,232
9,Hawaii,232
10,Puerto Rico,232
11,Kansas,232
12,Rhode Island,232
13,Wisconsin,232
14,Florida,232
15,Tennessee,232
16,Montana,232
17,Iowa,232
18,Connecticut,232
19,Pennsylvania,232
20,South Dakota,232
21,Kentucky,232
22,Michigan,232
23,Colorado,232
24,Wyoming,232
25,Nebraska,232
26,Idaho,232
27,Oklahoma,232
28,South Carolina,232
29,Mississippi,232
30,Ohio,232
31,Missouri,232
32,Indiana,232
33,Arkansas,232
34,New York,232
35,Maine,232
36,New Jersey,232
37,Illinois,232
38,Virginia,232
39,Nevada,232
40,Utah,232
41,North Dakota,232
42,U.S. Virgin Islands,232
43,North Carolina,232
44,U.S. Pacific Trust Territories and Possessions,232
45,New Mexico,232
46,Arizona,232
47,Louisiana,232
48,Washington,232
49,Massachusetts,232
50,California,232
51,Maryland,232
52,Georgia,232
